1   1168.2	1.41	1168.0	1.24	1168.0	1.22	1167.8	1.07	1167.7	0.97	1167.7	0.94	1167.3	0.4
2   1251.3	0.69	1250.7	0.16	1250.6	0.01	1250.4	-0.13	1250.6	0.03	1250.6	-0.02	1249.1	1.5
3   1500.3	0.23	1501.3	1.25	1501.6	1.56	1501.7	1.63	1501.7	1.61	1501.6	1.55	1500.2	1.4
4   1747.0	0.38	1747.0	0.35	1747.4	0.76	1747.4	0.71	1747.3	0.69	1747.5	0.81	1746.1	1.4
5   2326.6	-0.67	2326.4	-0.93	2326.4	-0.86	2326.6	-0.72	2326.7	-0.60	2326.7	-0.56	2327.5	-0.8
6   2422.2	0.44	2421.5	-0.24	2421.4	-0.37	2421.4	-0.37	2421.6	-0.17	2421.7	-0.08	2422.4	-0.7
7   2497.8	-0.22	2497.8	-0.17	2497.8	-0.16	2497.7	-0.26	2498.1	0.09	2498.1	0.08	2496.1	2.0
8   2666.4	0.06	2666.8	0.47	2666.2	-0.12	2666.0	-0.37	2665.9	-0.40	2665.9	-0.42	2667.1	-1.2
9   2719.9	0.19	2720.9	1.19	2721.1	1.43	2721.4	1.69	2721.5	1.80	2721.2	1.47	2718.6	2.6
10  2780.3	-0.99	2780.3	-1.02	2780.5	-0.85	2780.4	-0.88	2780.6	-0.74	2780.5	-0.86	2782.5	-2.0
11  2841.7	-0.94	2841.7	-0.91	2841.6	-1.09	2841.5	-1.12	2841.9	-0.79	2841.9	-0.71	2843.4	-1.5
12  2906.2	0.30	2905.2	-0.70	2905.4	-0.48	2904.9	-0.92	2904.9	-0.97	2905.0	-0.86	2906.0	-1.0
13  3001.1	2.06	3000.2	1.16	3000.4	1.37	3000.4	1.36	3000.6	1.56	3000.6	1.49	2998.1	2.5
14  3007.6	6.28	3005.9	4.63	3005.1	3.85	3003.8	2.55	3003.4	2.13	3002.8	1.48	3000.6	2.2
15  3242.9	4.06	3243.5	4.66	3241.8	2.98	3241.0	2.18	3240.7	1.91	3240.1	1.33	3239.0	1.1
16  3472.4	0.60	3472.8	0.96	3472.8	0.99	3473.2	1.40	3473.6	1.84	3474.1	2.30	3471.6	2.5
17  3481.9	-2.52	3481.5	-2.93	3481.4	-3.03	3481.2	-3.23	3481.4	-3.03	3481.3	-3.11	3480.7	0.6
18  3587.0	0.48	3586.7	0.21	3586.6	0.07	3586.5	-0.01	3586.7	0.19	3586.5	0.01	3586.6	-0.1
